item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q108407609,NormalRank,Q6581097,true,false,,,,
Q110493451,NormalRank,Q6581072,true,true,false,false,false,true
Q114674960,NormalRank,Q6581072,true,false,,,,
Q114674961,NormalRank,Q6581097,true,false,,,,
Q114674962,NormalRank,Q6581097,true,false,,,,
Q114674963,NormalRank,Q6581072,true,false,,,,
Q114674964,NormalRank,Q6581097,true,false,,,,
Q114674966,NormalRank,Q6581097,true,false,,,,
Q114674967,NormalRank,Q6581072,true,false,,,,
Q114676439,NormalRank,Q6581097,true,false,,,,
Q114676441,NormalRank,Q6581097,true,false,,,,
Q114676442,NormalRank,Q6581097,true,false,,,,
Q114676444,NormalRank,Q6581097,true,false,,,,
Q114676757,NormalRank,Q6581097,true,false,,,,
Q1279447,NormalRank,Q6581097,true,false,,,,
Q1293269,NormalRank,Q6581097,true,false,,,,
Q16937370,NormalRank,Q6581072,true,true,false,false,false,true
Q1707507,NormalRank,Q6581097,true,false,,,,
Q20666478,NormalRank,Q6581072,true,false,,,,
Q20666482,NormalRank,Q6581097,true,false,,,,
Q21074937,NormalRank,Q6581097,true,false,,,,
Q2805923,NormalRank,Q6581097,true,false,,,,
Q28803182,NormalRank,Q6581097,true,false,,,,
Q2960197,NormalRank,Q6581097,true,false,,,,
Q310129,NormalRank,Q6581097,true,true,false,false,false,true
Q324486,NormalRank,Q6581097,true,false,,,,
Q366200,NormalRank,Q6581097,true,false,,,,
Q4741786,NormalRank,Q6581097,true,false,,,,
Q5217975,NormalRank,Q6581097,true,false,,,,
Q5423136,NormalRank,Q6581097,true,false,,,,
Q5696735,NormalRank,Q6581097,true,false,,,,
Q59153927,,,,false,,,,
Q59153953,NormalRank,Q6581097,true,false,,,,
Q59153958,NormalRank,Q6581072,true,false,,,,
Q59153963,,,,false,,,,
Q59153970,NormalRank,Q6581097,true,false,,,,
Q59154052,NormalRank,Q6581097,true,false,,,,
Q59154059,NormalRank,Q6581072,true,false,,,,
Q59154066,NormalRank,Q6581097,true,false,,,,
Q59154082,NormalRank,Q6581097,true,true,false,false,false,false
Q59154091,,,,false,,,,
Q59154099,NormalRank,Q6581097,true,false,,,,
Q59154151,,,,false,,,,
Q5981435,NormalRank,Q6581097,true,false,,,,
Q6310114,NormalRank,Q6581097,true,false,,,,
Q887688,NormalRank,Q6581097,true,false,,,,
Q99957892,NormalRank,Q6581072,true,true,false,false,false,true
Q57823,NormalRank,Q6581097,true,true,false,false,false,true
